"analysis","method","n_snp","beta","se","pval"
"HF_FinnGen_HF_to_OGT","Wald ratio",1,-0.14282602118003,0.135316187594554,0.291197435195759
"OGT_to_HF_HERMES","Wald ratio",1,0.812299578555788,0.765931297530196,0.288899714626245
"OGT_to_HF_FinnGen","Wald ratio",1,0.447343017917265,0.682786711557931,0.512356753300256
"OGTlit_to_HF_HERMES","Wald ratio",1,-0.33302375,0.21598375,0.123099689815631
"OGTlit_to_HF_FinnGen","Wald ratio",1,-0.01375,0.18375,0.940350026304697
